title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,Ground Clearance,Seating Capacity,Drive Type,Length,No. of Airbags,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC,Global NCAP Safety Rating,Top Speed
2022 Mahindra Alturas G4 4X4 AT,₹33.50 Lakh,"Borivali West, Mumbai",Aug 2022,Comprehensive,Diesel,7 Seats,"13,205 Kms",Mumbai,First Owner,2157 cc,Automatic,2022,2157 cc,178.49 bhp,12.05 kmpl,Diesel,,7,,,9,,,,,,,
2021 Audi A6 45 TFSI Technology WO Matrix BSVI,₹43.75 Lakh,"Matunga West, Mumbai",Apr 2021,Comprehensive,Petrol,5 Seats,"34,400 Kms",Mumbai,First Owner,1984 cc,Automatic,2021,1984 cc,241.3 bhp,14.11 kmpl,Petrol,,,,,6,,,,,,,
2016 Hyundai Elantra 2.0 SX Option AT,₹8.50 Lakh,"Malad, Mumbai",Sept 2016,Expired,Petrol,5 Seats,"69,400 Kms",Mumbai,First Owner,1999 cc,Automatic,2016,1999 cc,149.92 bhp,14.62 kmpl,Petrol,,,,,,,,,,,,
2021 Tata Nexon EV XM,₹9.95 Lakh,"Chembur, Mumbai",Dec 2021,Expired,Electric,5 Seats,"38,101 Kms",Navi Mumbai,First Owner,,Automatic,2021,,127 bhp,,,,5,,,,,312 km,30.2 kWh,60 Mins,9.16 Hours,5 Star,
2015 Ford Figo 1.5 Sports Edition MT,₹4 Lakh,"Mulund East, Mumbai",Jan 2016,Expired,Diesel,5 Seats,"73,212 Kms",panvel,First Owner,1498 cc,Manual,2015,1498 cc,99 bhp,24.29 kmpl,Diesel,,,,3886mm,,,,,,,,
2022 BMW X7 xDrive30d DPE Signature,₹1.04 Crore,"Bazargate, Mumbai",Mar 2023,Comprehensive,Diesel,7 Seats,"29,500 Kms",panvel,First Owner,2993 cc,Automatic,2022,2993 cc,261.50 bhp,13.38 kmpl,Diesel,,7,AWD,,,,,,,,,
2012 Volkswagen Polo Cup Edition Comfortline,₹2.57 Lakh,"Dadar, Mumbai",Sept 2012,Comprehensive,Petrol,5 Seats,"1,18,097 Kms",Mumbai,First Owner,999 cc,Manual,2012,999 cc,75 bhp,18.78 kmpl,Petrol,,,,3971mm,,,,,,,,
2019 Honda Jazz VX CVT,₹6.75 Lakh,"West, Thane",Feb 2019,Comprehensive,Petrol,5 Seats,"21,824 Kms",Mumbai,First Owner,1199 cc,Automatic,2019,1199 cc,88.7 bhp,18.2 kmpl,Petrol,,,,,2,,,,,,,
2024 Maruti Alto K10 VXI Plus,₹5.40 Lakh,"Dadar, Mumbai",Apr 2024,Comprehensive,Petrol,5 Seats,"1,414 Kms",Thane,First Owner,998 cc,Manual,2024,998 cc,65.71 bhp,24.39 kmpl,Petrol,,,,,,214 Litres,,,,,,
2013 Maruti Ertiga VXI CNG,₹4.88 Lakh,"West, Thane",Dec 2013,Comprehensive,CNG,7 Seats,"59,205 Kms",Mumbai,Third Owner,1373 cc,Manual,2013,1373 cc,80.46 bhp,17.5 km/kg,CNG,,7,,,,,,,,,,
