title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.55 Lakh,"Gota, Ahmedabad",Sept 2018,Comprehensive,Petrol,5 Seats,"76,927 Kms",Vadodara,First Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2019 Volkswagen Vento 1.5 TDI Highline Plus AT,₹8.75 Lakh,"Naranpura Vistar, Ahmedabad",Jul 2019,Comprehensive,Diesel,5 Seats,"73,000 Kms",Vadodara,Second Owner,1498 cc,Automatic,2019,1498 cc,108.6 bhp,22.15 kmpl,Diesel,,,,,,,,,,,,
2015 Mahindra XUV500 W6 2WD,₹4.71 Lakh,Ahmedabad,2015,Expired,Diesel,7 Seats,"1,20,000 Kms",Gandhidham,Second Owner,2179 cc,Manual,2015,2179 cc,140 bhp,16 kmpl,,,,7,FWD,,200mm,,,,,,
2022 Honda City ZX MT,₹11.57 Lakh,"Gota, Ahmedabad",May 2022,Comprehensive,Petrol,5 Seats,"53,883 Kms",Ahmedabad,First Owner,1498 cc,Manual,2022,1498 cc,119.35 bhp,18.6 kmpl,Petrol,6,,,,,,,,,,,
2014 Hyundai EON Era Plus,₹2.65 Lakh,"Makarba, Ahmedabad",Dec 2014,Expired,Petrol,5 Seats,"41,000 Kms",Gandhinagar,First Owner,814 cc,Manual,2014,814 cc,55.2 bhp,21.1 kmpl,Petrol,,3495mm,,,,,,,,,,
2020 Honda Amaze VX i-VTEC,₹5.67 Lakh,"Gota, Ahmedabad",Oct 2020,Comprehensive,Petrol,5 Seats,"59,663 Kms",Gandhinagar,First Owner,1198 cc,Manual,2020,1198 cc,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2011 Hyundai i20 1.4 CRDi Asta,₹1.99 Lakh,"Vasna, Ahmedabad",Oct 2011,Expired,Diesel,5 Seats,"99,100 Kms",Ahmedabad,Second Owner,1396 cc,Manual,2011,,,,,,,,,,,,,,,,
2015 Hyundai i20 Asta 1.2,₹4.92 Lakh,"Gota, Ahmedabad",Jul 2015,Comprehensive,Petrol,5 Seats,"67,093 Kms",Vadodara,Second Owner,1197 cc,Manual,2015,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,3985mm,,,,,,,,,,
2014 Hyundai Xcent 1.2 Kappa S Option,₹3.75 Lakh,"Navrangpura, Ahmedabad",Aug 2014,Expired,Petrol,5 Seats,"61,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2014,1197 cc,81.86 bhp,19.1 kmpl,Petrol,,,,,,,,,,,,
2009 Hyundai i10 Era 1.1,₹75 Thousand,Ahmedabad,2009,Expired,Petrol,5 Seats,"1,50,000 Kms",patan,Fifth Owner,1086 cc,Manual,2009,1086 cc,68.05 bhp,19.81 kmpl,Petrol,,3585mm,,,,,,,,,,
